x
283;ENSRNOG00000018808
284;ENSRNOG00000024077
285;ENSRNOG00000018773
286;ENSRNOG00000018690
287;ENSRNOG00000033265
288;ENSRNOG00000049756
289;ENSRNOG00000018191
290;ENSRNOG00000018163
291;ENSRNOG00000018052
292;ENSRNOG00000004144
293;ENSRNOG00000016919
294;ENSRNOG00000016728
295;ENSRNOG00000016549
296;ENSRNOG00000023531
297;ENSRNOG00000016490
298;ENSRNOG00000017030
299;ENSRNOG00000016973
300;ENSRNOG00000029049
301;ENSRNOG00000046874
302;ENSRNOG00000017114
303;ENSRNOG00000017889
304;ENSRNOG00000018007
305;ENSRNOG00000050168
306;ENSRNOG00000018012
307;ENSRNOG00000045491
308;ENSRNOG00000018158
309;ENSRNOG00000018207
310;ENSRNOG00000018321
311;ENSRNOG00000018524
312;ENSRNOG00000018762
313;ENSRNOG00000018915
314;ENSRNOG00000018935
315;ENSRNOG00000030210
316;ENSRNOG00000017122
317;ENSRNOG00000030165
318;ENSRNOG00000018013
319;ENSRNOG00000044833
320;ENSRNOG00000017731
321;ENSRNOG00000017419
322;ENSRNOG00000017412
323;ENSRNOG00000017223
324;ENSRNOG00000022946
325;ENSRNOG00000016625
326;ENSRNOG00000050130
327;ENSRNOG00000016337
328;ENSRNOG00000014997
329;ENSRNOG00000014971
330;ENSRNOG00000014965
331;ENSRNOG00000023140
332;ENSRNOG00000014582
333;ENSRNOG00000014160
334;ENSRNOG00000013975
335;ENSRNOG00000019189
336;ENSRNOG00000019091
337;ENSRNOG00000019048
338;ENSRNOG00000017174
339;ENSRNOG00000048297
340;ENSRNOG00000017363
341;ENSRNOG00000017367
342;ENSRNOG00000049044
343;ENSRNOG00000011243
344;ENSRNOG00000011310
345;ENSRNOG00000012229
346;ENSRNOG00000024172
347;ENSRNOG00000024149
348;ENSRNOG00000024140
349;ENSRNOG00000012415
350;ENSRNOG00000012974
351;ENSRNOG00000012964
352;ENSRNOG00000013119
353;ENSRNOG00000013190
354;ENSRNOG00000013194
355;ENSRNOG00000039255
356;ENSRNOG00000013374
357;ENSRNOG00000033901
358;ENSRNOG00000047027
359;ENSRNOG00000023753
360;ENSRNOG00000014157
361;ENSRNOG00000050459
362;ENSRNOG00000026000
363;ENSRNOG00000046250
364;ENSRNOG00000049155
365;ENSRNOG00000013671
366;ENSRNOG00000022921
367;ENSRNOG00000014166
368;ENSRNOG00000010529
369;ENSRNOG00000015609
370;ENSRNOG00000015597
371;ENSRNOG00000015337
372;ENSRNOG00000015293
373;ENSRNOG00000015230
374;ENSRNOG00000043245
375;ENSRNOG00000001488
376;ENSRNOG00000001489
377;ENSRNOG00000001490
378;ENSRNOG00000021493
379;ENSRNOG00000049401
380;ENSRNOG00000014434
381;ENSRNOG00000048190
382;ENSRNOG00000048756
383;ENSRNOG00000031351
384;ENSRNOG00000012692
385;ENSRNOG00000012988
386;ENSRNOG00000047387
387;ENSRNOG00000035654
388;ENSRNOG00000035453
389;ENSRNOG00000035572
390;ENSRNOG00000039076
391;ENSRNOG00000010994
392;ENSRNOG00000011174
393;ENSRNOG00000031331
394;ENSRNOG00000045732
395;ENSRNOG00000045958
396;ENSRNOG00000011221
397;ENSRNOG00000011234
398;ENSRNOG00000050068
399;ENSRNOG00000047833
400;ENSRNOG00000046825
401;ENSRNOG00000047498
402;ENSRNOG00000011282
403;ENSRNOG00000050623
404;ENSRNOG00000047522
405;ENSRNOG00000047485
406;ENSRNOG00000032996
407;ENSRNOG00000028807
408;ENSRNOG00000011565
409;ENSRNOG00000042347
410;ENSRNOG00000011505
411;ENSRNOG00000042826
412;ENSRNOG00000043341
413;ENSRNOG00000042547
414;ENSRNOG00000025949
415;ENSRNOG00000038821
416;ENSRNOG00000045848
417;ENSRNOG00000048654
418;ENSRNOG00000050919
419;ENSRNOG00000049813
420;ENSRNOG00000011468
421;ENSRNOG00000048120
422;ENSRNOG00000046255
423;ENSRNOG00000046817
424;ENSRNOG00000011355
425;ENSRNOG00000050069
426;ENSRNOG00000038794
427;ENSRNOG00000012179
428;ENSRNOG00000012816
429;ENSRNOG00000013156
430;ENSRNOG00000048443
431;ENSRNOG00000013504
432;ENSRNOG00000013980
433;ENSRNOG00000014224
434;ENSRNOG00000038776
435;ENSRNOG00000038775
436;ENSRNOG00000014326
437;ENSRNOG00000014348
438;ENSRNOG00000041285
439;ENSRNOG00000014416
440;ENSRNOG00000014688
441;ENSRNOG00000016588
442;ENSRNOG00000023767
443;ENSRNOG00000014812
444;ENSRNOG00000046290
445;ENSRNOG00000040410
446;ENSRNOG00000040400
447;ENSRNOG00000040442
448;ENSRNOG00000035495
449;ENSRNOG00000035460
450;ENSRNOG00000035545
451;ENSRNOG00000046119
452;ENSRNOG00000022795
453;ENSRNOG00000027244
454;ENSRNOG00000047536
455;ENSRNOG00000029957
456;ENSRNOG00000048261
457;ENSRNOG00000047128
458;ENSRNOG00000025894
459;ENSRNOG00000046116
460;ENSRNOG00000046056
461;ENSRNOG00000027762
462;ENSRNOG00000039739
463;ENSRNOG00000050836
464;ENSRNOG00000047884
465;ENSRNOG00000026569
466;ENSRNOG00000028767
467;ENSRNOG00000049871
468;ENSRNOG00000029008
469;ENSRNOG00000011675
470;ENSRNOG00000029458
471;ENSRNOG00000047616
472;ENSRNOG00000048100
473;ENSRNOG00000046198
474;ENSRNOG00000027550
475;ENSRNOG00000027514
476;ENSRNOG00000043328
477;ENSRNOG00000027487
478;ENSRNOG00000027459
479;ENSRNOG00000019626
480;ENSRNOG00000019623
481;ENSRNOG00000027436
482;ENSRNOG00000038445
483;ENSRNOG00000019453
484;ENSRNOG00000031113
485;ENSRNOG00000031459
486;ENSRNOG00000031328
487;ENSRNOG00000019376
488;ENSRNOG00000026861
489;ENSRNOG00000047703
490;ENSRNOG00000050831
491;ENSRNOG00000046238
492;ENSRNOG00000046317
493;ENSRNOG00000019280
494;ENSRNOG00000019127
495;ENSRNOG00000048663
496;ENSRNOG00000046802
497;ENSRNOG00000049902
498;ENSRNOG00000046784
499;ENSRNOG00000048340
500;ENSRNOG00000046823
501;ENSRNOG00000033061
502;ENSRNOG00000049720
503;ENSRNOG00000049529
504;ENSRNOG00000047370
505;ENSRNOG00000047230
506;ENSRNOG00000031210
507;ENSRNOG00000032062
508;ENSRNOG00000034101
509;ENSRNOG00000032817
510;ENSRNOG00000047429
511;ENSRNOG00000028882
512;ENSRNOG00000033483
513;ENSRNOG00000032226
514;ENSRNOG00000028877
515;ENSRNOG00000031178
516;ENSRNOG00000019082
517;ENSRNOG00000047681
518;ENSRNOG00000050887
519;ENSRNOG00000029852
520;ENSRNOG00000002628
521;ENSRNOG00000049274
522;ENSRNOG00000047610
523;ENSRNOG00000049272
524;ENSRNOG00000048033
525;ENSRNOG00000047242
526;ENSRNOG00000046455
527;ENSRNOG00000048906
528;ENSRNOG00000013082
529;ENSRNOG00000049847
530;ENSRNOG00000049412
531;ENSRNOG00000048370
532;ENSRNOG00000049672
533;ENSRNOG00000049263
534;ENSRNOG00000046757
535;ENSRNOG00000048298
536;ENSRNOG00000045590
537;ENSRNOG00000049885
538;ENSRNOG00000025171
539;ENSRNOG00000025168
540;ENSRNOG00000030642
541;ENSRNOG00000011236
542;ENSRNOG00000021490
543;ENSRNOG00000048768
544;ENSRNOG00000047540
545;ENSRNOG00000047013
546;ENSRNOG00000042030
547;ENSRNOG00000015707
548;ENSRNOG00000002641
549;ENSRNOG00000015271
550;ENSRNOG00000050476
551;ENSRNOG00000015598
552;ENSRNOG00000050407
553;ENSRNOG00000046153
554;ENSRNOG00000047061
555;ENSRNOG00000022742
556;ENSRNOG00000015825
557;ENSRNOG00000015956
558;ENSRNOG00000046704
559;ENSRNOG00000014791
560;ENSRNOG00000048353
561;ENSRNOG00000015071
562;ENSRNOG00000041209
563;ENSRNOG00000015254
564;ENSRNOG00000041737
565;ENSRNOG00000047512
566;ENSRNOG00000045783
567;ENSRNOG00000015289
568;ENSRNOG00000030070
569;ENSRNOG00000015238
570;ENSRNOG00000050008
571;ENSRNOG00000042176
572;ENSRNOG00000048954
573;ENSRNOG00000049786
574;ENSRNOG00000042502
575;ENSRNOG00000042777
576;ENSRNOG00000015322
577;ENSRNOG00000034184
578;ENSRNOG00000033906
579;ENSRNOG00000049014
580;ENSRNOG00000022129
581;ENSRNOG00000015517
582;ENSRNOG00000015456
583;ENSRNOG00000022994
584;ENSRNOG00000042719
585;ENSRNOG00000021996
586;ENSRNOG00000038674
587;ENSRNOG00000032891
588;ENSRNOG00000036304
589;ENSRNOG00000048505
590;ENSRNOG00000021913
591;ENSRNOG00000035686
592;ENSRNOG00000049710
593;ENSRNOG00000031562
594;ENSRNOG00000046339
595;ENSRNOG00000038479
596;ENSRNOG00000038497
597;ENSRNOG00000015527
598;ENSRNOG00000027705
599;ENSRNOG00000027733
600;ENSRNOG00000032699
601;ENSRNOG00000018642
602;ENSRNOG00000018621
603;ENSRNOG00000018616
604;ENSRNOG00000027808
605;ENSRNOG00000046683
606;ENSRNOG00000048238
607;ENSRNOG00000027811
608;ENSRNOG00000027843
609;ENSRNOG00000027855
610;ENSRNOG00000018600
611;ENSRNOG00000046577
612;ENSRNOG00000018458
613;ENSRNOG00000049759
614;ENSRNOG00000047204
615;ENSRNOG00000027919
616;ENSRNOG00000027942
617;ENSRNOG00000027959
618;ENSRNOG00000028041
619;ENSRNOG00000018250
620;ENSRNOG00000038600
621;ENSRNOG00000018217
622;ENSRNOG00000018152
623;ENSRNOG00000038607
624;ENSRNOG00000018090
625;ENSRNOG00000017795
626;ENSRNOG00000017673
627;ENSRNOG00000028273
628;ENSRNOG00000017508
629;ENSRNOG00000038616
630;ENSRNOG00000033173
631;ENSRNOG00000017386
632;ENSRNOG00000042528
633;ENSRNOG00000017306
634;ENSRNOG00000017127
635;ENSRNOG00000016930
636;ENSRNOG00000016877
637;ENSRNOG00000016829
638;ENSRNOG00000016805
639;ENSRNOG00000050348
640;ENSRNOG00000038622
641;ENSRNOG00000042414
642;ENSRNOG00000016687
643;ENSRNOG00000038625
644;ENSRNOG00000042927
645;ENSRNOG00000016608
646;ENSRNOG00000016574
647;ENSRNOG00000016565
648;ENSRNOG00000028628
649;ENSRNOG00000016279
650;ENSRNOG00000046037
651;ENSRNOG00000016274
652;ENSRNOG00000015997
653;ENSRNOG00000015914
654;ENSRNOG00000015753
655;ENSRNOG00000015743
656;ENSRNOG00000032913
657;ENSRNOG00000038644
658;ENSRNOG00000038647
659;ENSRNOG00000031899
660;ENSRNOG00000033755
661;ENSRNOG00000049668
662;ENSRNOG00000048095
663;ENSRNOG00000030886
664;ENSRNOG00000047490
665;ENSRNOG00000047206
666;ENSRNOG00000014181
667;ENSRNOG00000032819
668;ENSRNOG00000014186
669;ENSRNOG00000014193
670;ENSRNOG00000026764
671;ENSRNOG00000042461
672;ENSRNOG00000014787
673;ENSRNOG00000046669
674;ENSRNOG00000042113
675;ENSRNOG00000031005
676;ENSRNOG00000042400
677;ENSRNOG00000046091
678;ENSRNOG00000047986
679;ENSRNOG00000048028
680;ENSRNOG00000022227
681;ENSRNOG00000050187
682;ENSRNOG00000013548
683;ENSRNOG00000022151
684;ENSRNOG00000038276
685;ENSRNOG00000010132
686;ENSRNOG00000013890
687;ENSRNOG00000038251
688;ENSRNOG00000048564
689;ENSRNOG00000028449
690;ENSRNOG00000013023
691;ENSRNOG00000011346
692;ENSRNOG00000011262
693;ENSRNOG00000021800
694;ENSRNOG00000001494
695;ENSRNOG00000001493
696;ENSRNOG00000001492
697;ENSRNOG00000021390
698;ENSRNOG00000047575
699;ENSRNOG00000046410
700;ENSRNOG00000049028
701;ENSRNOG00000047800
702;ENSRNOG00000049661
703;ENSRNOG00000048848
704;ENSRNOG00000049079
705;ENSRNOG00000048217
706;ENSRNOG00000015128
707;ENSRNOG00000015229
708;ENSRNOG00000015304
709;ENSRNOG00000015376
710;ENSRNOG00000015852
711;ENSRNOG00000038205
712;ENSRNOG00000028617
713;ENSRNOG00000034247
714;ENSRNOG00000046915
715;ENSRNOG00000015865
716;ENSRNOG00000034106
717;ENSRNOG00000015948
718;ENSRNOG00000016055
719;ENSRNOG00000016145
720;ENSRNOG00000016434
721;ENSRNOG00000046360
722;ENSRNOG00000016701
723;ENSRNOG00000016756
724;ENSRNOG00000016770
725;ENSRNOG00000016863
726;ENSRNOG00000007148
727;ENSRNOG00000027944
728;ENSRNOG00000027936
729;ENSRNOG00000016907
730;ENSRNOG00000017198
731;ENSRNOG00000034055
732;ENSRNOG00000038939
733;ENSRNOG00000042250
734;ENSRNOG00000027607
735;ENSRNOG00000027288
736;ENSRNOG00000029485
737;ENSRNOG00000034000
738;ENSRNOG00000017519
739;ENSRNOG00000017620
740;ENSRNOG00000042158
741;ENSRNOG00000032940
742;ENSRNOG00000048977
743;ENSRNOG00000017699
744;ENSRNOG00000048883
745;ENSRNOG00000044940
746;ENSRNOG00000038101
747;ENSRNOG00000017721
748;ENSRNOG00000026891
749;ENSRNOG00000026810
750;ENSRNOG00000013395
751;ENSRNOG00000013767
752;ENSRNOG00000013847
753;ENSRNOG00000038088
754;ENSRNOG00000014132
755;ENSRNOG00000038087
756;ENSRNOG00000014252
757;ENSRNOG00000014256
758;ENSRNOG00000014353
759;ENSRNOG00000014788
760;ENSRNOG00000014984
761;ENSRNOG00000015085
762;ENSRNOG00000047435
763;ENSRNOG00000015349
764;ENSRNOG00000008815
765;ENSRNOG00000015413
766;ENSRNOG00000015844
767;ENSRNOG00000015860
768;ENSRNOG00000030127
769;ENSRNOG00000035565
770;ENSRNOG00000016362
771;ENSRNOG00000025890
772;ENSRNOG00000016367
773;ENSRNOG00000016603
774;ENSRNOG00000046667
775;ENSRNOG00000017839
776;ENSRNOG00000016825
777;ENSRNOG00000025350
778;ENSRNOG00000017753
779;ENSRNOG00000036303
780;ENSRNOG00000018101
781;ENSRNOG00000016837
782;ENSRNOG00000029745
783;ENSRNOG00000017069
784;ENSRNOG00000017448
785;ENSRNOG00000017463
786;ENSRNOG00000017468
787;ENSRNOG00000043378
788;ENSRNOG00000017692
789;ENSRNOG00000049772
790;ENSRNOG00000049605
791;ENSRNOG00000046000
792;ENSRNOG00000033235
793;ENSRNOG00000018255
794;ENSRNOG00000018402
795;ENSRNOG00000018405
796;ENSRNOG00000018426
797;ENSRNOG00000018454
798;ENSRNOG00000018556
799;ENSRNOG00000018730
800;ENSRNOG00000029399
801;ENSRNOG00000018953
802;ENSRNOG00000043416
803;ENSRNOG00000031391
804;ENSRNOG00000047795
805;ENSRNOG00000043088
806;ENSRNOG00000019202
807;ENSRNOG00000024630
808;ENSRNOG00000019260
809;ENSRNOG00000029336
810;ENSRNOG00000029022
811;ENSRNOG00000032625
812;ENSRNOG00000024376
813;ENSRNOG00000037945
814;ENSRNOG00000019406
815;ENSRNOG00000019416
816;ENSRNOG00000019427
817;ENSRNOG00000019432
818;ENSRNOG00000019440
819;ENSRNOG00000019596
820;ENSRNOG00000024257
821;ENSRNOG00000037931
822;ENSRNOG00000024243
823;ENSRNOG00000019802
824;ENSRNOG00000050032
825;ENSRNOG00000046500
826;ENSRNOG00000019862
827;ENSRNOG00000019915
828;ENSRNOG00000024065
829;ENSRNOG00000019982
830;ENSRNOG00000019994
831;ENSRNOG00000019999
832;ENSRNOG00000020057
833;ENSRNOG00000033358
834;ENSRNOG00000049821
835;ENSRNOG00000045922
836;ENSRNOG00000049317
837;ENSRNOG00000048783
838;ENSRNOG00000049941
839;ENSRNOG00000050105
840;ENSRNOG00000030331
841;ENSRNOG00000020098
842;ENSRNOG00000020109
843;ENSRNOG00000037897
844;ENSRNOG00000020125
845;ENSRNOG00000020130
846;ENSRNOG00000020233
847;ENSRNOG00000020263
848;ENSRNOG00000020310
849;ENSRNOG00000020362
850;ENSRNOG00000020381
851;ENSRNOG00000046112
852;ENSRNOG00000047526
853;ENSRNOG00000020417
854;ENSRNOG00000020426
855;ENSRNOG00000020432
856;ENSRNOG00000020481
857;ENSRNOG00000043154
858;ENSRNOG00000020489
859;ENSRNOG00000020498
860;ENSRNOG00000020530
861;ENSRNOG00000020546
862;ENSRNOG00000020538
863;ENSRNOG00000037814
864;ENSRNOG00000021905
865;ENSRNOG00000020578
866;ENSRNOG00000033196
867;ENSRNOG00000037798
868;ENSRNOG00000020596
869;ENSRNOG00000020606
870;ENSRNOG00000020607
871;ENSRNOG00000020635
872;ENSRNOG00000021302
873;ENSRNOG00000028753
874;ENSRNOG00000020652
875;ENSRNOG00000020675
876;ENSRNOG00000020683
877;ENSRNOG00000020716
878;ENSRNOG00000041518
879;ENSRNOG00000020743
880;ENSRNOG00000028852
881;ENSRNOG00000043320
882;ENSRNOG00000046375
883;ENSRNOG00000022679
884;ENSRNOG00000045944
885;ENSRNOG00000049059
886;ENSRNOG00000047176
887;ENSRNOG00000022669
888;ENSRNOG00000050033
889;ENSRNOG00000046222
890;ENSRNOG00000045673
891;ENSRNOG00000020775
892;ENSRNOG00000033164
893;ENSRNOG00000046673
894;ENSRNOG00000032004
895;ENSRNOG00000050758
896;ENSRNOG00000031529
897;ENSRNOG00000020827
898;ENSRNOG00000028900
899;ENSRNOG00000020928
900;ENSRNOG00000020817
901;ENSRNOG00000032805
902;ENSRNOG00000028891
903;ENSRNOG00000020947
904;ENSRNOG00000001500
905;ENSRNOG00000001499
906;ENSRNOG00000001501
907;ENSRNOG00000037715
908;ENSRNOG00000041608
909;ENSRNOG00000013945
910;ENSRNOG00000020848
911;ENSRNOG00000020867
912;ENSRNOG00000020871
913;ENSRNOG00000020882
914;ENSRNOG00000020914
915;ENSRNOG00000024410
916;ENSRNOG00000037690
917;ENSRNOG00000024363
918;ENSRNOG00000018369
919;ENSRNOG00000020835
920;ENSRNOG00000018390
921;ENSRNOG00000018408
922;ENSRNOG00000018677
923;ENSRNOG00000018850
924;ENSRNOG00000023521
925;ENSRNOG00000046338
926;ENSRNOG00000037673
927;ENSRNOG00000022222
928;ENSRNOG00000018885
929;ENSRNOG00000049295
930;ENSRNOG00000045741
931;ENSRNOG00000050995
932;ENSRNOG00000048765
933;ENSRNOG00000029805
934;ENSRNOG00000018928
935;ENSRNOG00000048489
936;ENSRNOG00000009113
937;ENSRNOG00000049339
938;ENSRNOG00000018936
939;ENSRNOG00000018994
940;ENSRNOG00000019129
941;ENSRNOG00000042899
942;ENSRNOG00000019229
943;ENSRNOG00000019254
944;ENSRNOG00000047901
945;ENSRNOG00000019883
946;ENSRNOG00000026244
947;ENSRNOG00000019879
948;ENSRNOG00000026584
949;ENSRNOG00000043368
950;ENSRNOG00000019869
951;ENSRNOG00000019838
952;ENSRNOG00000019831
953;ENSRNOG00000019746
954;ENSRNOG00000019702
955;ENSRNOG00000019673
956;ENSRNOG00000030266
957;ENSRNOG00000019578
958;ENSRNOG00000032034
959;ENSRNOG00000037638
960;ENSRNOG00000019338
961;ENSRNOG00000051208
962;ENSRNOG00000045545
963;ENSRNOG00000019310
964;ENSRNOG00000047807
965;ENSRNOG00000043056
966;ENSRNOG00000011191
967;ENSRNOG00000048014
968;ENSRNOG00000034119
969;ENSRNOG00000048251
970;ENSRNOG00000045921
971;ENSRNOG00000033775
972;ENSRNOG00000031073
973;ENSRNOG00000039036
974;ENSRNOG00000030145
975;ENSRNOG00000050453
976;ENSRNOG00000019942
977;ENSRNOG00000019949
978;ENSRNOG00000019962
979;ENSRNOG00000046971
980;ENSRNOG00000020063
981;ENSRNOG00000020102
982;ENSRNOG00000025354
983;ENSRNOG00000020235
984;ENSRNOG00000020308
985;ENSRNOG00000020338
986;ENSRNOG00000020380
987;ENSRNOG00000020389
988;ENSRNOG00000020433
989;ENSRNOG00000047624
990;ENSRNOG00000020598
991;ENSRNOG00000020616
992;ENSRNOG00000020628
993;ENSRNOG00000020636
994;ENSRNOG00000020676
995;ENSRNOG00000020687
996;ENSRNOG00000020703
997;ENSRNOG00000045327
998;ENSRNOG00000029642
999;ENSRNOG00000029043
